filename,density
10X_照片 04-04-25 下午4 52 54_grid_r0_c1,1522
10X_照片 04-04-25 下午4 52 54_grid_r0_c2,1522
10X_照片 04-04-25 下午4 52 54_grid_r1_c0,1522
10X_照片 04-04-25 下午4 52 54_grid_r1_c1,1522
10X_照片 04-04-25 下午4 52 54_grid_r1_c2,1522
10X_照片 04-04-25 下午4 52 54_grid_r1_c3,1522
10X_照片 04-04-25 下午4 52 54_grid_r2_c0,1522
10X_照片 04-04-25 下午4 52 54_grid_r2_c1,1522
10X_照片 04-04-25 下午4 52 54_grid_r2_c2,1522
10X_照片 04-04-25 下午4 52 54_grid_r2_c3,1522
10X_照片 04-04-25 下午4 52 54_grid_r3_c1,1522
10X_照片 04-04-25 下午4 52 54_grid_r3_c2,1522
5X_照片 04-04-25 下午4 58 55_grid_r0_c1,3034
5X_照片 04-04-25 下午4 58 55_grid_r0_c2,3034
5X_照片 04-04-25 下午4 58 55_grid_r1_c0,3034
5X_照片 04-04-25 下午4 58 55_grid_r1_c1,3034
5X_照片 04-04-25 下午4 58 55_grid_r1_c2,3034
5X_照片 04-04-25 下午4 58 55_grid_r1_c3,3034
5X_照片 04-04-25 下午4 58 55_grid_r2_c0,3034
5X_照片 04-04-25 下午4 58 55_grid_r2_c1,3034
5X_照片 04-04-25 下午4 58 55_grid_r2_c2,3034
5X_照片 04-04-25 下午4 58 55_grid_r2_c3,3034
5X_照片 04-04-25 下午4 58 55_grid_r3_c1,3034
5X_照片 04-04-25 下午4 58 55_grid_r3_c2,3034
