Batch Size,Filter Config,Best Val Loss,MSE,MAE,R²,Epochs,Training Time (min)
16,128-256-512,6969821.406759511,93128504.0,4371.57568359375,-0.07449746131896973,47,208.78164043823878
64,64-128-256,7205312.0,124023896.0,6576.158203125,-0.43096208572387695,45,71.45556339025498
32,128-256-512,7147670.460597826,127153656.0,6297.24267578125,-0.4670727252960205,37,162.4825083653132
16,64-128-256,7218813.717391305,160779232.0,9419.05859375,-0.8550376892089844,38,64.18151632944743
64,16-32-64,7229837.2744565215,315994592.0,15738.6904296875,-2.6458799839019775,39,15.823431265354156
32,32-64-128,7229899.412703805,561783808.0,20843.111328125,-5.481746196746826,25,18.821900916099548
64,32-64-128,6927483.851902174,697095552.0,21493.197265625,-7.04294490814209,51,36.11096369028091
64,128-256-512,7258119.160326087,1018341248.0,23575.322265625,-10.749412536621094,60,264.5442148049672
16,16-32-64,7233180.555027174,1178395008.0,29463.82421875,-12.596076965332031,34,16.458110054334004
16,32-64-128,7456295.951936142,1242650880.0,29707.197265625,-13.337450981140137,20,15.756204903125763
32,64-128-256,7214558.1200747285,3896112128.0,52789.89453125,-43.952537536621094,24,38.871119328339894
32,16-32-64,6955338.975713315,6968587776.0,66773.859375,-79.4021224975586,60,27.13289777437846
